1.1294e-09,5.2823e-06,0.00016165
1.0478e-09,8.3345e-06,0.00077806
1.1183e-09,3.3089e-06,0.00090516
9.8919e-10,1.1268e-05,0.0010118
1.0161e-09,1.0318e-05,0.0012684
1.0489e-09,7.9621e-06,0.0012351
1.1167e-09,7.6871e-06,0.0010821
1.1883e-09,8.1783e-06,0.00088917
1.0612e-09,7.2968e-06,0.00095831
1.1361e-09,7.0762e-06,0.00076092
1.2335e-09,3.8866e-06,0.0011773
1.1001e-09,3.5642e-06,0.0011289
1.0602e-09,7.7006e-06,0.00080667
1.1607e-09,4.1001e-06,0.00096838
1.1107e-09,8.3261e-06,0.0010745
1.0691e-09,7.8016e-06,0.0012353
1.0897e-09,5.3311e-06,0.00089862
9.5051e-10,1.1776e-05,0.0011358
1.1549e-09,7.7982e-06,0.0008638
1.0911e-09,4.3271e-06,0.0010865
1.0522e-09,5.1022e-06,0.001177
1.1319e-09,6.5058e-06,0.0012583
1.1568e-09,1.0167e-05,0.0010427
1.1649e-09,2.4538e-06,0.00090003
9.9541e-10,7.9112e-06,0.00089331
1.0513e-09,9.2434e-06,0.00014513
1.072e-09,6.8163e-06,0.0011601
1.2079e-09,7.7673e-06,0.0010309
1.1122e-09,6.2652e-06,0.00085638
1.1279e-09,4.4207e-06,0.00012717
1.1468e-09,5.4803e-06,0.00086257
1.1393e-09,4.9868e-06,0.00034725
1.0307e-09,5.8412e-06,0.0012307
1.0531e-09,7.1902e-06,0.0012358
1.1467e-09,6.5415e-06,0.0010653
1.1636e-09,6.4791e-06,0.00085855
1.0011e-09,7.4917e-06,0.001134
1.0844e-09,8.9884e-06,0.00099465
1.0513e-09,3.4106e-06,0.0014724
1.1885e-09,7.7164e-06,0.0009792
1.083e-09,7.2783e-06,0.0011117
1.113e-09,2.7881e-06,0.00089019
1.0947e-09,3.9821e-06,0.0012366
1.0256e-09,9.8263e-06,0.001007
1.0047e-09,6.8082e-06,0.00034449
1.1131e-09,5.4317e-06,0.0011638
1.0874e-09,2.8645e-06,0.001147
1.1299e-09,4.7247e-06,0.0010075
1.0069e-09,6.1143e-06,0.00088017
1.0666e-09,7.03e-06,0.0011617
